ID,Age,Interest,Activity
1,90,"['Fotografia di viaggio', 'Investimenti azionari', 'Amicizia', 'Moda streetwear']",0.5
2,38,"['Stile vintage', 'Fai da te per la casa', 'Riduzione della plastica', 'Thriller psicologici']",0.5
3,22,"['Crescita personale', 'Economia', 'Fotografia digitale', 'Criptovalute']",0.2
4,21,"['Intelligenza artificiale', 'Destinazioni esotiche', 'Stile vintage', ""Libri d'arte""]",0.5
5,66,"['Giochi indie', 'Disegno e illustrazione', 'Lingue straniere', 'Fotografia di viaggio']",0.5
6,46,"['Indie', 'Cucina italiana', 'Poesia contemporanea', 'Arte digitale']",0.8
7,30,"['Terapia cognitivo-comportamentale (TCC)', 'Alta moda', 'Cucina italiana', 'Fotografia di architettura']",0.2
8,21,"['Fai da te per la casa', 'Pianificazione pensionistica', 'Abbigliamento sostenibile', 'Arte digitale']",0.8
9,21,"['Riduzione della plastica', 'Immobiliare', 'Saggi di divulgazione scientifica', 'Sparatutto in prima persona (FPS)']",0.5
10,26,"['Tennis', 'Pianificazione pensionistica', 'Cucito e ricamo', 'Maratone e corsa']",0.8
11,26,"['Cura dei gatti', 'Politica internazionale', 'Scultura', 'Giochi per dispositivi mobili']",0.8
12,79,"['Hip hop', 'Poesia contemporanea', 'Protezione degli animali', 'Fotografia di paesaggi']",0.8
13,41,"['Criptovalute', 'Strategia in tempo reale (RTS)', 'Terapia cognitivo-comportamentale (TCC)', 'Immobiliare']",0.8
14,30,"['Falegnameria', 'Saggi di divulgazione scientifica', 'Cucina italiana', 'Viaggi in camper']",0.8
15,21,"['Fotografia di paesaggi', 'Progetti di bricolage', 'Poesia contemporanea', 'Saggi di divulgazione scientifica']",0.2
16,65,"['Lavorazione del legno', 'Alta moda', 'Protezione degli animali', 'Mindfulness']",0.8
17,47,"['Gestione dello stress', 'Alta moda', 'Allenamento funzionale', 'Intelligenza artificiale']",0.2
18,78,"['Cucito e ricamo', 'Dessert e dolci', 'Drammi', 'Cucito e ricamo']",0.2
19,36,"['Criptovalute', 'Stile vintage', 'Crescita delle relazioni di coppia', 'Escursioni in montagna']",0.8
20,18,"['Gestione dei conflitti', 'Fotografia di viaggio', 'Alta moda', 'Allevamento di animali esotici']",0.5
21,36,"['Moda streetwear', 'Strategia in tempo reale (RTS)', 'Criptovalute', 'Scultura']",0.2
22,25,"['Anime', 'Cucina gourmet', 'Hip hop', 'Corsi online']",0.2
23,28,"[""Tecnologia dell'informazione"", 'Terapia cognitivo-comportamentale (TCC)', 'Romanzi storici', 'Dessert e dolci']",0.8
24,23,"['Maratone e corsa', 'Dessert e dolci', 'Thriller psicologici', 'Giochi di ruolo (RPG)']",0.5
25,57,"['Tennis', 'Stile vintage', 'Progetti di bricolage', 'Cucina italiana']",0.8
26,31,"['Amicizia', 'Fantasy epico', 'Allevamento di animali esotici', 'Programmi di dimagrimento']",0.8
27,17,"['Progetti di bricolage', 'Calcio', 'Alta moda', 'Giochi indie']",0.5
